98900000,Entertainment
96000000,Sports
70500000,Entertainment
68200000,Education
65900000,Education
59500000,Sports
56400000,Entertainment
53300000,Education
52200000,Education
47500000,Entertainment
47400000,Entertainment
46800000,Entertainment
45500000,Entertainment
45200000,Entertainment
44700000,Entertainment
44600000,Entertainment
43600000,Entertainment
43200000,Entertainment
42400000,Entertainment
41900000,Entertainment
40900000,Education
40300000,Entertainment
39200000,Education
39000000,Entertainment
38200000,Entertainment
37600000,Entertainment
37500000,Entertainment
35500000,Entertainment
35200000,Entertainment
34900000,Education
34000000,Entertainment
33500000,Entertainment
33400000,Education
32800000,Education
32700000,Entertainment
32000000,Entertainment
31900000,Entertainment
31700000,Entertainment
31600000,Entertainment
31400000,Entertainment
31200000,Entertainment
30400000,Entertainment
30300000,Entertainment
30200000,Entertainment
30100000,Education
29200000,Entertainment
28900000,Education
28400000,Entertainment
28300000,Entertainment
28300000,Education
28200000,Entertainment
27300000,Entertainment
27100000,Entertainment
27100000,Entertainment
26900000,Entertainment
26700000,Entertainment
26400000,Entertainment
26300000,Entertainment
26200000,Entertainment
26100000,Entertainment
25000000,Entertainment
24800000,Entertainment
24800000,Entertainment
24400000,Entertainment
24300000,Entertainment
24200000,Entertainment
24100000,Entertainment
23900000,Entertainment
23900000,Entertainment
23800000,Entertainment
23600000,Entertainment
23600000,Entertainment
23600000,Entertainment
23300000,Entertainment
23200000,Entertainment
23000000,Entertainment
23000000,Entertainment
23000000,Entertainment
22900000,Education
22800000,Entertainment
22700000,Entertainment
22200000,Entertainment
22000000,Entertainment
21900000,Entertainment
21600000,Entertainment
21300000,Entertainment
21300000,Entertainment
21300000,Entertainment
21200000,Entertainment
21200000,Education
21000000,Entertainment
21000000,Entertainment
21000000,Entertainment
20900000,Entertainment
20900000,Education
20800000,Education
20700000,Sports
20700000,Entertainment
20700000,Entertainment
20600000,Entertainment
20500000,Entertainment
20500000,Entertainment
20400000,Entertainment
20400000,Entertainment
20300000,Entertainment
20300000,Education
20300000,Education
20200000,Entertainment
20200000,Entertainment
20200000,Education
20100000,Entertainment
20100000,Entertainment
20100000,Entertainment
20000000,Entertainment
20000000,Entertainment
19700000,Entertainment
19700000,Entertainment
19600000,Entertainment
19500000,Entertainment
19400000,Sports
19400000,Entertainment
19200000,Entertainment
19100000,Entertainment
19000000,Entertainment
19000000,Education
18900000,Education
18800000,Entertainment
18800000,Entertainment
18800000,Education
18700000,Entertainment
18600000,Entertainment
18400000,Entertainment
18300000,Entertainment
18300000,Entertainment
18100000,Entertainment
18100000,Entertainment
18100000,Entertainment
18100000,Education
18000000,Sports
18000000,Entertainment
17900000,Entertainment
17900000,Entertainment
17700000,Entertainment
17500000,Entertainment
17500000,Entertainment
17400000,Entertainment
17300000,Entertainment
17200000,Education
17200000,Education
17100000,Entertainment
17000000,Entertainment
16900000,Entertainment
16900000,Entertainment
16800000,Entertainment
16800000,Entertainment
16800000,Entertainment
16700000,Entertainment
16700000,Entertainment
16600000,Entertainment
16600000,Entertainment
16600000,Entertainment
16600000,Entertainment
166000000,Entertainment
16500000,Entertainment
16500000,Entertainment
16400000,Sports
16400000,Entertainment
16400000,Entertainment
16400000,Entertainment
16400000,Entertainment
16300000,Entertainment
16300000,Entertainment
16200000,Entertainment
16200000,Entertainment
16200000,Entertainment
162000000,Education
16100000,Entertainment
16100000,Entertainment
16100000,Entertainment
16100000,Entertainment
16000000,Education
15800000,Education
15700000,Entertainment
15600000,Entertainment
15600000,Entertainment
15500000,Entertainment
15500000,Entertainment
15500000,Entertainment
15500000,Education
15300000,Sports
15300000,Entertainment
15300000,Education
15200000,Entertainment
15200000,Entertainment
15200000,Entertainment
15200000,Entertainment
15100000,Entertainment
15100000,Education
15000000,Entertainment
15000000,Entertainment
